Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 1 | Iteration Duration: 34.77s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 2 | Iteration Duration: 35.68s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 3 | Iteration Duration: 34.42s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 4 | Iteration Duration: 34.09s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 5 | Iteration Duration: 33.67s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 6 | Iteration Duration: 37.08s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 7 | Iteration Duration: 36.5s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 8 | Iteration Duration: 35.65s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 9 | Iteration Duration: 32.45s | Score: 285.0
Env: env_NoFS_v4 | Agent: DQN_agent_NoFS_v41500 | Iteration: 10 | Iteration Duration: 32.76s | Score: 285.0
