Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 1 | Iteration Duration: 40.59s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 2 | Iteration Duration: 39.01s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 3 | Iteration Duration: 39.66s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 4 | Iteration Duration: 40.07s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 5 | Iteration Duration: 40.89s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 6 | Iteration Duration: 40.24s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 7 | Iteration Duration: 40.39s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 8 | Iteration Duration: 40.07s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 9 | Iteration Duration: 40.14s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v41500 | Iteration: 10 | Iteration Duration: 39.2s | Score: 270.0
