Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 1 | Iteration Duration: 40.63s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 2 | Iteration Duration: 41.1s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 3 | Iteration Duration: 40.41s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 4 | Iteration Duration: 41.33s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 5 | Iteration Duration: 41.21s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 6 | Iteration Duration: 40.98s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 7 | Iteration Duration: 40.59s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 8 | Iteration Duration: 41.05s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 9 | Iteration Duration: 41.35s | Score: 270.0
Env: env_Det_v4 | Agent: DDQN_agent_Det_v44500 | Iteration: 10 | Iteration Duration: 41.04s | Score: 270.0
