Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 1 | Iteration Duration: 40.23s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 2 | Iteration Duration: 41.5s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 3 | Iteration Duration: 40.52s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 4 | Iteration Duration: 40.72s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 5 | Iteration Duration: 41.06s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 6 | Iteration Duration: 39.94s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 7 | Iteration Duration: 40.92s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 8 | Iteration Duration: 40.93s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 9 | Iteration Duration: 38.98s | Score: 270.0
Env: env_v4 | Agent: DDQN_agent_v41500 | Iteration: 10 | Iteration Duration: 40.11s | Score: 270.0
