Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 1 | Iteration Duration: 35.29s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 2 | Iteration Duration: 34.44s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 3 | Iteration Duration: 34.06s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 4 | Iteration Duration: 34.34s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 5 | Iteration Duration: 33.52s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 6 | Iteration Duration: 33.23s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 7 | Iteration Duration: 33.96s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 8 | Iteration Duration: 33.56s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 9 | Iteration Duration: 35.38s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v422500 | Iteration: 10 | Iteration Duration: 34.47s | Score: 285.0
