Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 1 | Iteration Duration: 24.58s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 2 | Iteration Duration: 25.67s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 3 | Iteration Duration: 25.48s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 4 | Iteration Duration: 25.69s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 5 | Iteration Duration: 25.62s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 6 | Iteration Duration: 25.62s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 7 | Iteration Duration: 25.66s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 8 | Iteration Duration: 25.06s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 9 | Iteration Duration: 25.21s | Score: 270.0
Env: env_v5 | Agent: DDQN_agent_v54500 | Iteration: 10 | Iteration Duration: 25.84s | Score: 270.0
