Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 1 | Iteration Duration: 31.93s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 2 | Iteration Duration: 31.06s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 3 | Iteration Duration: 31.28s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 4 | Iteration Duration: 31.66s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 5 | Iteration Duration: 33.11s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 6 | Iteration Duration: 34.91s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 7 | Iteration Duration: 32.67s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 8 | Iteration Duration: 33.02s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 9 | Iteration Duration: 34.93s | Score: 285.0
Env: env_v4 | Agent: DDQN_agent_v44500 | Iteration: 10 | Iteration Duration: 33.03s | Score: 285.0
