Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 1 | Iteration Duration: 30.59s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 2 | Iteration Duration: 29.64s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 3 | Iteration Duration: 29.54s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 4 | Iteration Duration: 29.57s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 5 | Iteration Duration: 29.52s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 6 | Iteration Duration: 29.67s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 7 | Iteration Duration: 29.43s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 8 | Iteration Duration: 29.63s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 9 | Iteration Duration: 29.53s | Score: 285.0
Env: env_v5 | Agent: DDQN_agent_v51500 | Iteration: 10 | Iteration Duration: 29.55s | Score: 285.0
