Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 1 | Iteration Duration: 50.98s | Score: 410.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 2 | Iteration Duration: 47.87s | Score: 210.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 3 | Iteration Duration: 48.92s | Score: 410.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 4 | Iteration Duration: 47.27s | Score: 210.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 5 | Iteration Duration: 46.66s | Score: 235.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 6 | Iteration Duration: 47.77s | Score: 235.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 7 | Iteration Duration: 46.92s | Score: 210.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 8 | Iteration Duration: 44.7s | Score: 210.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 9 | Iteration Duration: 44.28s | Score: 210.0
Env: env_v4 | Agent: DQN_agent_v44500 | Iteration: 10 | Iteration Duration: 43.97s | Score: 210.0
